,Genre,Production Company,Movie name,Director name
605,,,Gong-fu-yu-jia-(China),
606,,,Fei-Chi-Ren-Sheng-(China)(2019),
607,Adventure," Bona Film Group, August First Film Studios, Huaxia Film & Distribution Coroporation",Taking-of-Tiger-Mountain-The,Tsui Hark
608,Horror," Blumhouse, Miramax Films, Rough House Pictures, Universal Pictures, Malek Akkad",Halloween-(2018),David Gordon Green
609,Action,,Cliffhanger,Renny Harlin
610,Black Comedy," Barunson E&A, Neon Films, CJ Entertainment",gi-saeng-chung-(South-Korea)-(2019),
611,,,Wild-Hogs,Walt Becker
612,Adventure," Amblin Entertainment, Parkes+Macdonald Productions, Columbia Pictures, Tencent Pictures , Image Nation",Men-in-Black-International-(2019),
613,Adventure," StudioCanal, Weinstein Company, Anton Capital Entertainment",Paddington,Paul King
614,Horror," Blumhouse, QC Entertainment, Universal Pictures, Monkeypaw Pictures",Get-Out-(2017),Jordan Peele
615,Western," Paramount Pictures, Scott Rudin Productions, Skydance Productions",True-Grit-(2010),Joel Coen
616,Documentary," Columbia Pictures, The Michael Jackson Company",Michael-Jacksons-This-Is-It,Kenny Ortega
617,Action," Columbia Pictures, Overbrook Entertainment, Blinding Edge Pictures",After-Earth,M. Night Shyamalan
618,Adventure," Team Downey, Universal Pictures, Perfect World Pictures, Roth Kirschenbaum Films",Dolittle,Stephen Gaghan
619,,,Youve-Got-Mail-(1998),
620,Adventure,,Hercules-(1997),
621,Action," Don Simpson, Jerry Bruckheimer, Scott Free Films",Enemy-of-the-State,Tony Scott
622,Adventure, Walt Disney Animation Studios,Brother-Bear,
623,Action," Paramount Pictures, Skydance Productions, Twentieth Century Fox, Tencent Pictures , TSG Entertainment, Lightstorm Entertainment",Terminator-Dark-Fate-(2019),Tim Miller
624,Adventure,,Space-Jam,
625,Adventure," Blue Sky Studios, 20th Century Fox Animation",Peanuts-Movie-The,Steve Martino
626,Adventure," Fox 2000 Pictures, Bagdasarian Company, Regency Enterprises",Alvin-and-the-Chipmunks-The-Road-Chip,Walt Becker
627,Adventure, Davis Entertainment,Eragon,
628,,,Xi-You-Fu-Yao-Pian-(China),
629,Adventure," Wanda Media, Shine Asia Media Company, Hyayi Brothers Corp., Beijing Enlight Pictures, China Film Company",Ghouls-The-(China),Wuershan
630,Horror,,Blair-Witch-Project-The,Daniel Myrick
631,,,Ring-The,Gore Verbinski
632,Thriller/Suspense," Touchstone Pictures, Blinding Edge Pictures",Unbreakable,
633,Comedy," Fox 2000 Pictures, Regency Enterprises, Gil Netter Productions, Sunswept Entertainment",Marley-and-Me,David Frankel
634,,,Bienvenue-chez-les-Ch-tis,
635,Comedy," Columbia Pictures, Happy Madison",Grown-Ups-2,
636,Thriller/Suspense," Blinding Edge Pictures, Blumhouse, Buena Vista Intl, Universal Pictures",Glass-(2019),
637,Romantic Comedy, Working Title Films,Love-Actually,Richard Curtis
638,Comedy, Katja Motion Picture Corporation,Dumb-and-Dumber,Bobby Farrelly
639," Marvel Studios, Kinberg Genre, Twentieth Century Fox, Hutch Parker",,Dark-Phoenix-(2019),Simon Kinberg
640,,,Babe-(1995),
641,Adventure," Walt Disney Pictures, Clark Spencer",Lilo-and-Stitch,Chris Sanders
642,,,8-Mile,
643,Adventure," Paramount Pictures, Nickelodeon Films, BlindWink, GK Films",Rango,Gore Verbinski
644,Adventure," Paramount Pictures, Nickelodeon Films",Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows,
645,Action," Arthur Sarkissian, Roger Birnbaum",Rush-Hour,Brett Ratner
646,,,Lie-huo-ying-xiong-(China),
647,Action," Universal Pictures, Marvel Studios, Valhalla Motion Pictures, Good Machine",Hulk,
648,,,Back-to-the-Future-Part-III,Robert Zemeckis
649,Adventure," 1492 Pictures, Happy Madison, Film Croppers Entertainment",Pixels,
650,,,Jiang-Ziya-(China),
651,Adventure," Flynn Picture Company, Radical Studios",Hercules-(2014),Brett Ratner
652,,,Journey-to-the-Center-of-the-Earth-(2008),
653,Action, Strike Entertainment,RoboCop-(2013),Jose Padilha
654,Romantic Comedy," Working Title Films, PolyGram Filmed Entertainment, Channel Four Films",Four-Weddings-and-a-Funeral,Mike Newell
655,Comedy," Paramount Pictures, Red Granite Pictures, Gary Sanchez Productions",Daddys-Home-(2015),Sean Anders
656,Action," Douglas/Reuther, WCG, David Permut",Face-Off,John Woo
